start_city,end_city,departure_time,fare,duration_min
Jaipur,Jodhpur,06:06:00,555.7352267086758,537.5236530322613
Jaipur,Jodhpur,11:11:00,261.47276046238153,287.62395029290036
Jaipur,Jodhpur,04:26:00,377.98370200007577,428.85980801497936
Jaipur,Udaipur,22:35:00,264.0203462296082,268.9020851303464
Jaipur,Udaipur,10:46:00,184.14592622650702,170.04686503486977
Jaipur,Udaipur,22:37:00,308.50430334655505,434.50004834119295
Jaipur,Ajmer,14:55:00,646.8793277695232,436.7085478270016
Jaipur,Ajmer,02:07:00,588.5737861011064,82.97254544254898
Jaipur,Ajmer,19:04:00,656.641927472694,569.6567620467545
Jaipur,Bikaner,17:32:00,258.60357316506673,443.0969551894631
Jaipur,Bikaner,23:05:00,477.5138411423388,113.78576272622428
Jaipur,Bikaner,09:28:00,467.88540568073745,446.7000636010083
Jaipur,Kota,10:39:00,391.48407384445505,185.4164255238075
Jaipur,Kota,21:29:00,321.1985176256121,258.41606507722463
Jaipur,Kota,03:08:00,746.7137814017474,284.55527257574806
Jaipur,Alwar,22:41:00,154.62146836594064,599.0864531069634
Jaipur,Alwar,15:24:00,115.06894325896444,546.6803364078319
Jaipur,Alwar,13:23:00,262.84543873226824,537.9416047145513
Jaipur,Churu,09:59:00,381.8654688816598,280.65721325635025
Jaipur,Churu,11:26:00,354.58784794224937,430.61633460697607
Jaipur,Churu,13:47:00,370.6826211673058,463.3548810639744
Jaipur,Bundi,15:38:00,372.46736679467585,317.74346217397414
Jaipur,Bundi,02:28:00,302.16727401582705,125.42451440453154
Jaipur,Bundi,19:05:00,258.4940935013017,473.42689544411786
Jaipur,Tonk,23:35:00,609.9997939917193,106.92392630234087
Jaipur,Tonk,23:27:00,796.2811969712048,510.4431803084671
Jaipur,Tonk,10:27:00,556.5197460830606,379.16579533008854
Jaipur,Sirohi,12:59:00,182.5175323981569,86.5595712734673
Jaipur,Sirohi,11:18:00,204.35517208307763,302.8984781538698
Jaipur,Sirohi,22:08:00,415.733033897715,210.6522071201418
Jaipur,Dausa,15:35:00,160.97566808551667,348.69374699324186
Jaipur,Dausa,07:38:00,480.4046005015789,251.5430805017338
Jaipur,Dausa,13:03:00,220.23453516503508,431.86596371497825
Jaipur,Karauli,19:24:00,126.40706160153196,418.75127881110427
Jaipur,Karauli,19:06:00,88.29251395985712,350.2627845352643
Jaipur,Karauli,20:33:00,240.47925435175276,474.36012916364484
Jaipur,Sriganganagar,15:24:00,621.9370318858053,418.91082086615313
Jaipur,Sriganganagar,14:26:00,491.09291277627415,161.93686004393837
Jaipur,Sriganganagar,16:10:00,911.6437598761188,467.3213760835222
Jaipur,Nagaur,16:43:00,119.79005249168095,262.31580466035587
Jaipur,Nagaur,03:38:00,273.1221957007547,260.1443508659842
Jaipur,Nagaur,05:42:00,256.06384045651413,398.66769895283625
Jaipur,Jalore,01:32:00,689.8530024167341,367.76533747522427
Jaipur,Jalore,14:55:00,403.061685468395,239.4349867635254
Jaipur,Jalore,03:22:00,336.95647665381796,572.783788337391
Jodhpur,Jaipur,03:21:00,206.59247696950297,353.02224519141447
Jodhpur,Jaipur,12:27:00,164.7466887780949,516.8169513260272
Jodhpur,Jaipur,17:45:00,369.0787950737165,82.79897044374866
Jodhpur,Udaipur,00:04:00,922.5900559987052,256.86737931012533
Jodhpur,Udaipur,13:55:00,653.7193451485981,557.3834686013254
Jodhpur,Udaipur,14:51:00,758.2439399802176,140.25694049102992
Jodhpur,Ajmer,01:34:00,199.48191593643546,564.7675092535465
Jodhpur,Ajmer,11:05:00,432.0340030416242,211.04693034462082
Jodhpur,Ajmer,11:28:00,176.73124627104897,496.91994359359165
Jodhpur,Bikaner,05:39:00,911.7917803827238,200.56312660333833
Jodhpur,Bikaner,03:56:00,885.908478624057,431.09331831678173
Jodhpur,Bikaner,00:19:00,322.33981012437573,77.27762746797475
Jodhpur,Kota,19:43:00,180.32095579137183,215.86880207715183
Jodhpur,Kota,14:37:00,312.3647109629836,141.30352597251067
Jodhpur,Kota,16:48:00,193.9657464124742,356.6795933503594
Jodhpur,Alwar,19:48:00,494.6240210475854,150.28017356125724
Jodhpur,Alwar,12:18:00,214.52360160650272,169.91030428510314
Jodhpur,Alwar,08:22:00,232.23273939949166,577.5058743035073
Jodhpur,Churu,10:49:00,210.47208265972822,243.53057209810387
Jodhpur,Churu,19:26:00,600.8758192451552,203.85171993645184
Jodhpur,Churu,10:17:00,436.5695989688332,385.03486924280656
Jodhpur,Bundi,18:25:00,294.893677349616,66.85747842303151
Jodhpur,Bundi,09:24:00,257.3867734756862,404.274387998801
Jodhpur,Bundi,06:41:00,253.6762129492463,552.9359497072635
Jodhpur,Tonk,08:00:00,367.2049600872446,458.25271163919314
Jodhpur,Tonk,18:10:00,380.43407621275185,236.24828503864836
Jodhpur,Tonk,21:12:00,307.24574559240494,408.40429246778314
Jodhpur,Sirohi,08:51:00,722.7283314777512,364.485426272757
Jodhpur,Sirohi,23:32:00,743.4765897971572,316.62972853287874
Jodhpur,Sirohi,05:28:00,644.3746716929488,469.3244928222662
Jodhpur,Dausa,21:07:00,346.07992319487767,356.8104343759186
Jodhpur,Dausa,12:28:00,367.6740751253765,129.75469212755223
Jodhpur,Dausa,15:47:00,335.05249410057434,496.2294212373707
Jodhpur,Karauli,20:34:00,247.18226336529287,309.55554594325133
Jodhpur,Karauli,14:18:00,172.04178594747492,201.733957557637
